Date,Lie,Url,Explanation
2017-01-21,I wasn't a fan of Iraq. I didn't want to go into Iraq.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the,He was for an invasion before he was against it.
2017-01-21,A reporter for Time magazine — and I have been on their cover 14 or 15 times. I think we have the all-time record in the history of Time magazine.,http://nation.time.com/2013/11/06/10-things-you-didnt-know-about-time/,Trump was on the cover 11 times and Nixon appeared 55 times.
2017-01-23,Between 3 million and 5 million illegal votes caused me to lose the popular vote.,https://www.nytimes.com/2017/01/23/us/politics/donald-trump-congress-democrats.html,There's no evidence of illegal voting.
2017-01-25,"Now, the audience was the biggest ever. But this crowd was massive. Look how far back it goes. This crowd was massive.",https://www.nytimes.com/2017/01/21/us/politics/trump-white-house-briefing-inauguration-crowd-size.html,Official aerial photos show Obama's 2009 inauguration was much more heavily attended.
2017-01-25,Take a look at the Pew reports (which show voter fraud.),https://www.nytimes.com/2017/01/24/us/politics/unauthorized-immigrant-voting-trump-lie.html,The report never mentioned voter fraud.
2017-01-25,You had millions of people that now aren't insured anymore.,https://www.nytimes.com/2017/03/13/us/politics/fact-check-trump-obamacare-health-care.html,"The real number is less than 1 million, according to the Urban Institute."
2017-01-25,"So, look, when President Obama was there two weeks ago making a speech, very nice speech. Two people were shot and killed during his speech. You can't have that.",https://www.dnainfo.com/chicago/2017-chicago-murders/timeline?mon=1,There were no gun homicide victims in Chicago that day.
2017-01-26,We've taken in tens of thousands of people. We know nothing about them. They can say they vet them. They didn't vet them. They have no papers. How can you vet somebody when you don't know anything about them and you have no papers? How do you vet them? You can't.,https://www.nytimes.com/interactive/2017/01/29/us/refugee-vetting-process.html,Vetting lasts up to two years.
2017-01-26,"I cut off hundreds of millions of dollars off one particular plane, hundreds of millions of dollars in a short period of time. It wasn't like I spent, like, weeks, hours, less than hours, and many, many hundreds of millions of dollars. And the plane's going to be better.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Most of the cuts were already planned.
2017-01-28,The coverage about me in the @nytimes and the @washingtonpost has been so false and angry that the Times actually apologized to its dwindling subscribers and readers.,https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html,It never apologized.
2017-01-29,"The Cuban-Americans, I got 84 percent of that vote.",http://www.pewresearch.org/fact-tank/2016/11/15/unlike-other-latinos-about-half-of-cuban-voters-in-florida-backed-trump/,There is no support for this.
2017-01-30,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage.",http://markets.on.nytimes.com/research/stocks/news/press_release.asp?docTag=201701300400PR_NEWS_USPRX____CL99370&feedID=600&press_symbol=7311173,"At least 746 people were detained and processed, and the Delta outage happened two days later."
2017-02-03,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",https://www.nytimes.com/2017/01/28/nyregion/jfk-protests-trump-refugee-ban.html,There is no evidence of paid protesters.
2017-02-04,"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!",https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html,It never apologized.
2017-02-05,"We had 109 people out of hundreds of thousands of travelers and all we did was vet those people very, very carefully.",http://www.politifact.com/truth-o-meter/statements/2017/feb/06/donald-trump/president-trump-says-109-people-were-affected-trav/,"About 60,000 people were affected."
2017-02-06,I have already saved more than $700 million when I got involved in the negotiation on the F-35.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price drop was projected before Trump took office.
2017-02-06,"It's gotten to a point where it is not even being reported. And in many cases, the very, very dishonest press doesn't want to report it.",https://www.nytimes.com/2017/02/07/us/politics/the-white-house-list-of-terror-attacks-underreported-by-media.html,"Terrorism has been reported on, often in detail."
2017-02-06,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html,It didn't apologize.
2017-02-06,"And the previous administration allowed it to happen because we shouldn't have been in Iraq, but we shouldn't have gotten out the way we got out. It created a vacuum, ISIS was formed.",https://www.nytimes.com/2015/11/19/world/middleeast/in-rise-of-isis-no-single-missed-key-but-many-strands-of-blame.html,The group’s origins date to 2004.
2017-02-07,"And yet the murder rate in our country is the highest it’s been in 47 years, right? Did you know that? Forty-seven years.",http://www.politifact.com/truth-o-meter/statements/2017/feb/08/donald-trump/donald-trump-wrong-murder-rate-highest-47-years/,It was higher in the 1980s and '90s.
2017-02-07,"I saved more than $600 million. I got involved in negotiation on a fighter jet, the F-35.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,The Defense Department projected this price drop before Trump took office.
2017-02-09,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ‘service’ in Vietnam. FAKE NEWS!",http://transcripts.cnn.com/TRANSCRIPTS/1702/09/nday.05.html,It was part of Cuomo's first question.
2017-02-09,Sen. Richard Blumenthal now misrepresents what Judge Gorsuch told him?,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/10/heres-what-trump-got-wrong-on-twitter-this-week-5/?utm_term=.6fbfc4abc6e0,The Gorsuch comments were later corroborated.
2017-02-10,I don’t know about it. I haven’t seen it. What report is that?,http://www.factcheck.org/2017/02/trump-spins-flynn-facts/,Trump knew about Flynn's actions for weeks.
2017-02-12,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,http://www.palmbeachpost.com/news/national-govt--politics/trump-heads-back-protesters-supporters-gather/CQXPE9NRk807XKWiDwefWK/,The media did cover it.
2017-02-16,We got 306 because people came out and voted like they've never seen before so that's the way it goes. I guess it was the biggest Electoral College win since Ronald Reagan.,https://www.nytimes.com/2017/02/16/us/politics/trump-fact-check.html,"George H.W. Bush, Bill Clinton and Barack Obama all won bigger margins in the Electoral College."
2017-02-16,That’s the other thing that was wrong with the travel ban. You had Delta with a massive problem with their computer system at the airports.,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/03/what-trump-got-wrong-on-twitter-this-week-4/,Delta's problems happened two days later.
2017-02-16,"Walmart announced it will create 10,000 jobs in the United States just this year because of our various plans and initiatives.",https://www.nytimes.com/interactive/2017/business/economy/trump-jobs.html,The jobs are a result of its investment plans announced in October 2016.
2017-02-16,"When WikiLeaks, which I had nothing to do with, comes out and happens to give, they’re not giving classified information.",http://www.politifact.com/truth-o-meter/article/2017/feb/16/fact-checking-donald-trumps-press-conference/,Not always. They have released classified information in the past.
2017-02-16,We had a very smooth rollout of the travel ban. But we had a bad court. Got a bad decision.,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/16/fact-checking-president-trumps-news-conference/?utm_term=.517d64230dcf,The rollout was chaotic.
2017-02-16,"They’re giving stuff — what was said at an office about Hillary cheating on the debates. Which, by the way, nobody mentions. Nobody mentions that Hillary received the questions to the debates.",http://www.politifact.com/truth-o-meter/article/2017/feb/16/fact-checking-donald-trumps-press-conference/,It was widely covered.
2017-02-18,And there was no way to vet those people. There was no documentation. There was no nothing.,https://www.nytimes.com/interactive/2017/01/29/us/refugee-vetting-process.html,"Refugees receive multiple background checks, taking up to two years."
2017-02-18,"You look at what's happening in Germany, you look at what's happening last night in Sweden. Sweden, who would believe this?",https://www.nytimes.com/2017/02/19/world/europe/last-night-in-sweden-trumps-remark-baffles-a-nation.html?rref=collection%2Ftimestopic%2FSweden&action=click&contentCollection=world&region=stream&module=stream_unit&version=latest&contentPlacement=7&pgtype=collection,"Trump implied there was a terror attack in Sweden, but there was no such attack."
2017-02-24,"By the way, you folks are in here — this place is packed, there are lines that go back six blocks.",http://thehill.com/homenews/administration/320988-trump-falsely-claims-lines-go-back-6-blocks-for-cpac-speech,There was no evidence of long lines.
2017-02-24,ICE came and endorsed me.,http://www.politifact.com/truth-o-meter/statements/2016/oct/10/donald-trump/trump-says-ice-endorsed-him/,Only its union did.
2017-02-24,"Obamacare covers very few people — and remember, deduct from the number all of the people that had great health care that they loved that was taken away from them — it was taken away from them.",https://www.nytimes.com/2017/02/24/us/politics/fact-check-trump-blasts-fake-news-and-repeats-inaccurate-claims-at-cpac.html,Obamacare increased coverage by a net of about 20 million.
2017-02-27,"Since Obamacare went into effect, nearly half of the insurers are stopped and have stopped from participating in the Obamacare exchanges.",http://www.heritage.org/health-care-reform/report/the-2017-health-insurance-exchanges-major-decrease-competition-and-choice,Many fewer pulled out.
2017-02-27,"On one plane, on a small order of one plane, I saved $725 million. And I would say I devoted about, if I added it up, all those calls, probably about an hour. So I think that might be my highest and best use.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cut was already projected.
2017-02-28,"And now, based on our very strong and frank discussions, they are beginning to do just that.",https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html,NATO countries agreed to meet defense spending requirements in 2014.
2017-02-28,The E.P.A.’s regulators were putting people out of jobs by the hundreds of thousands.,http://www.nytimes.com/2011/09/05/business/economy/a-debate-arises-on-job-creation-vs-environmental-regulation.html,There's no evidence that the Waters of the United States rule caused severe job losses.
2017-02-28,We have begun to drain the swamp of government corruption by imposing a five-year ban on lobbying by executive branch officials.,https://www.washingtonpost.com/politics/2017/live-updates/trump-white-house/real-time-fact-checking-and-analysis-of-trumps-address-to-congress/fact-check-bans-on-lobbying/?utm_term=.ce1370a2b78d,They can't lobby their former agency but can still become lobbyists.
2017-03-03,It is so pathetic that the Dems have still not approved my full Cabinet.,https://www.washingtonpost.com/news/politics/wp/2017/03/03/trump-is-blaming-the-democrats-for-cabinet-delays-that-are-normal-and-his-own-fault/?utm_term=.68b1395b9ff1,Paperwork for the last two candidates was still not submitted to the Senate.
2017-03-04,Terrible! Just found out that Obama had my ‘wires tapped’ in Trump Tower just before the victory. Nothing found. This is McCarthyism!,https://www.nytimes.com/2017/03/04/us/politics/trump-obama-tap-phones.html,There's no evidence of a wiretap.
2017-03-04,How low has President Obama gone to tap my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!,https://www.nytimes.com/2017/03/04/us/politics/trump-obama-tap-phones.html,There's no evidence of a wiretap.
2017-03-07,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!",https://www.nytimes.com/2017/03/07/us/politics/guantanamo-bay-trump.html,113 of them were released by President George W. Bush.
2017-03-13,"I saved a lot of money on those jets, didn't I? Did I do a good job? More than $725 million on them.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-03-13,"First of all, it covers very few people.",https://www.nytimes.com/2017/03/13/us/politics/fact-check-trump-obamacare-health-care.html,About 20 million people gained insurance under Obamacare.
2017-03-15,"On the airplanes, I saved $725 million. Probably took me a half an hour if you added up all of the times.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-03-17,"I was in Tennessee — I was just telling the folks — and half of the state has no insurance company, and the other half is going to lose the insurance company.",https://public.tableau.com/profile/kaiser.family.foundation#!/vizhome/InsurerParticipationinthe2017IndividualMarketplace/2017InsurerParticipation,There's at least one insurer in every Tennessee county.
2017-03-20,"With just one negotiation on one set of airplanes, I saved the taxpayers of our country over $700 million.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-03-21,"To save taxpayer dollars, I’ve already begun negotiating better contracts for the federal government — saving over $700 million on just one set of airplanes of which there are many sets.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-03-22,"I make the statement, everyone goes crazy. The next day they have a massive riot, and death, and problems.",https://www.nytimes.com/2017/02/19/world/europe/last-night-in-sweden-trumps-remark-baffles-a-nation.html,Riots in Sweden broke out two days later and there were no deaths.
2017-03-22,"NATO, obsolete, because it doesn’t cover terrorism. They fixed that.",http://www.politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/donald-trump-wrong-again-about-nato-increasing-ter/,It has fought terrorism since the 1980s.
2017-03-22,"Well, now, if you take a look at the votes, when I say that, I mean mostly they register wrong — in other words, for the votes, they register incorrectly and/or illegally. And they then vote. You have tremendous numbers of people.",https://www.nytimes.com/2017/01/24/us/politics/unauthorized-immigrant-voting-trump-lie.html,There's no evidence of widespread voter fraud.
2017-03-29,"Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong. Now worse!",https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html,It didn't apologize.
2017-03-31,"We have a lot of plants going up now in Michigan that were never going to be there if I — if I didn’t win this election, those plants would never even think about going back. They were gone.",https://www.nytimes.com/interactive/2017/business/economy/trump-jobs.html,These investments were already planned.
2017-04-02,"And I was totally opposed to the war in the Middle East which I think finally has been proven, people tried very hard to say I wasn’t but you’ve seen that it is now improving.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the,He was for an invasion before he was against it.
2017-04-02,"Now, my last tweet — you know, the one that you are talking about, perhaps — was the one about being, in quotes, wiretapped, meaning surveilled. Guess what, it is turning out to be true.",https://www.nytimes.com/2017/03/04/us/politics/trump-obama-tap-phones.html,There is still no evidence.
2017-04-05,You have many states coming up where they’re going to have no insurance company. O.K.? It’s already happened in Tennessee. It’s happening in Kentucky. Tennessee only has half coverage. Half the state is gone. They left.,https://www.nytimes.com/2017/03/24/us/politics/fact-check-trumps-misleading-claims-in-health-bill-failure.html,Every marketplace region in Tennessee had at least one insurer.
2017-04-06,"If you look at the kind of cost-cutting we’ve been able to achieve with the military and at the same time ordering vast amounts of equipment — saved hundreds of millions of dollars on airplanes, and really billions, because if you take that out over a period of years it’s many billions of dollars — I think we’ve had a tremendous success.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were already projected.
2017-04-11,"I like Steve, but you have to remember he was not involved in my campaign until very late. I had already beaten all the senators and all the governors, and I didn’t know Steve.",https://www.nytimes.com/2017/04/12/us/politics/trump-steven-bannon-fox-business-news-interview.html?ref=politics,He knew Steve Bannon since 2011.
2017-04-12,"You can't do it faster, because they're obstructing. They're obstructionists. So I have people — hundreds of people that we're trying to get through. I mean you have — you see the backlog. We can't get them through.",https://www.nytimes.com/2017/04/12/us/politics/trump-steven-bannon-fox-business-news-interview.html?ref=politics,"At this point, he had not nominated anyone for hundreds of positions."
2017-04-12,The New York Times said the word wiretapped in the headline of the first edition. Then they took it out of there fast when they realized.,https://www.nytimes.com/2017/03/23/us/politics/fact-check-trump-misleads-surveillance-wiretapping.html,"There were separate headlines for print and web, but neither were altered."
2017-04-12,"The secretary general and I had a productive discussion about what more NATO can do in the fight against terrorism. I complained about that a long time ago and they made a change, and now they do fight terrorism.",https://www.nytimes.com/2017/04/12/us/politics/trump-steven-bannon-fox-business-news-interview.html?ref=politics,NATO has been engaged in counterterrorism efforts since the 1980s.
2017-04-12,Mosul was supposed to last for a week and now they’ve been fighting it for many months and so many more people died.,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/,The campaign was expected to take months.
2017-04-16,Someone should look into who paid for the small organized rallies yesterday. The election is over!,https://www.nytimes.com/2017/04/15/us/politics/tax-day-march.html,There's no evidence of paid protesters.
2017-04-18,"The fake media goes, ‘Donald Trump changed his stance on China.’ I haven’t changed my stance.",https://www.nytimes.com/2017/04/14/business/china-currency-manipulation-trump.html,He did.
2017-04-21,"On 90 planes I saved $725 million. It's actually a little bit more than that, but it's $725 million.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were already projected.
2017-04-21,"When WikiLeaks came out ... never heard of WikiLeaks, never heard of it.",https://www.washingtonpost.com/news/fact-checker/wp/2017/04/25/fact-checking-president-trumps-pinocchio-laden-associated-press-interview/?utm_term=.33ae871d0c9c,He criticized it as early as 2010.
2017-04-27,I want to help our miners while the Democrats are blocking their healthcare.,http://www.pbs.org/newshour/rundown/retired-coal-miners-get-health-care-fix-pension-problems-remain/,The bill to extend health benefits for certain coal miners was introduced by a Democrat and was co-sponsored by mostly Democrats.
2017-04-28,"The trade deficit with Mexico is close to $70 billion, even with Canada it’s $17 billion trade deficit with Canada.",http://www.factcheck.org/2017/05/trumps-100-day-boasts/,"The U.S. had an $8.1 billion trade surplus, not deficit, with Canada in 2016."
2017-04-28,"She's running against someone who's going to raise your taxes to the sky, destroy your health care, and he's for open borders — lots of crime.",http://www.mdjonline.com/opinion/jon-ossoff-voters-too-smart-to-believe-attack-ads/article_d6c9dafa-1e5a-11e7-a93c-c7e0b4d4f985.html,Those are not Jon Ossoff's positions.
2017-04-28,"The F-35 fighter jet program — it was way over budget. I’ve saved $725 million plus, just by getting involved in the negotiation.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were planned before Trump.
2017-04-29,"As you know, I've been a big critic of China, and I've been talking about currency manipulation for a long time. But I have to tell you that during the election, number one, they stopped.",https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html,China stopped years ago.
2017-04-29,I've already saved more than $725 million on a simple order of F-35 planes. I got involved in the negotiation.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were planned before Trump.
2017-04-29,"We're also getting NATO countries to finally step up and contribute their fair share. They've begun to increase their contributions by billions of dollars, but we are not going to be satisfied until everyone pays what they owe.",https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html,The deal was struck in 2014.
2017-04-29,"When they talk about currency manipulation, and I did say I would call China, if they were, a currency manipulator, early in my tenure. And then I get there. Number one, they — as soon as I got elected, they stopped.",https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html,China stopped in 2014.
2017-04-29,"I was negotiating to reduce the price of the big fighter jet contract, the F-35, which was totally out of control. I will save billions and billions and billions of dollars.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Most of the cuts were planned before Trump.
2017-04-29,I think our side's been proven very strongly. And everybody's talking about it.,https://www.nytimes.com/2017/03/20/us/politics/intelligence-committee-russia-donald-trump.html,There's still no evidence Trump's phones were tapped.
2017-05-01,"Well, we are protecting pre-existing conditions. And it'll be every good — bit as good on pre-existing conditions as Obamacare.",https://www.nytimes.com/2017/04/26/upshot/what-changed-in-the-health-repeal-plan-to-win-over-the-freedom-caucus.html,The bill weakens protections for people with pre-existing conditions.
2017-05-01,"The F-35 fighter jet — I saved — I got involved in the negotiation. It's 2,500 jets. I negotiated for 90 planes, lot 10. I got $725 million off the price.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were planned before Trump.
2017-05-01,"First of all, since I started running, they haven't increased their — you know, they have not manipulated their currency. I think that was out of respect to me and the campaign.",https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html,China stopped years ago.
2017-05-02,"I love buying those planes at a reduced price. I have been really — I have cut billions — I have to tell you this, and they can check, right, Martha? I have cut billions and billions of dollars off plane contracts sitting here.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-05-04,"Number two, they’re actually not a currency [manipulator]. You know, since I’ve been talking about currency manipulation with respect to them and other countries, they stopped.",https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html,China stopped years ago.
2017-05-04,We’re the highest-taxed nation in the world.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/,We're not.
2017-05-04,Nobody cares about my tax return except for the reporters.,http://time.com/money/4732925/trump-tax-returns-released-poll/,Polls show most Americans do care.
2017-05-08,You know we’ve gotten billions of dollars more in NATO than we’re getting. All because of me.,https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html,The deal was struck in 2014.
2017-05-08,"But when I did his show, which by the way was very highly rated. It was high — highest rating. The highest rating he’s ever had.",http://money.cnn.com/2017/05/11/media/stephen-colbert-trump-no-talent-comment/,Colbert's Late Show debut had nearly two million more viewers.
2017-05-08,"Director Clapper reiterated what everybody, including the fake media already knows — there is ‘no evidence’ of collusion w/ Russia and Trump.",https://www.nytimes.com/2017/05/10/us/politics/fact-check-fbi-james-comey-sarah-huckabee-sanders.html,Clapper only said he wasn't aware of an investigation.
2017-05-12,"Again, the story that there was collusion between the Russians & Trump campaign was fabricated by Dems as an excuse for losing the election.",https://www.nytimes.com/interactive/2017/05/10/us/politics/fbi-congress-trump-russia-investigations.html,The F.B.I. was investigating before the election.
2017-05-12,"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",https://www.nytimes.com/2017/05/10/us/politics/fact-check-fbi-james-comey-sarah-huckabee-sanders.html,Clapper said he wouldn't have been told of an investigation into collusion.
2017-05-13,I'm cutting the price of airplanes with Lockheed.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,The cost cuts were planned before he became president.
2017-05-26,Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,https://www.washingtonpost.com/news/fact-checker/wp/2017/05/26/president-trumps-claim-that-hes-already-saved-millions-of-jobs-on-his-foreign-trip/?utm_term=.820dd5955428,He's referencing an arms deal that's not enacted and other apparent deals that weren't announced on the trip.
2017-06-01,"China will be allowed to build hundreds of additional coal plants. So, we can’t build the plants, but they can, according to this agreement. India will be allowed to double its coal production by 2020.",https://www.washingtonpost.com/news/the-fix/wp/2017/06/01/transcript-president-trumps-remarks-on-leaving-the-paris-climate-deal-annotated/?utm_term=.7f974232c4ba,The agreement doesn’t allow or disallow building coal plants.
2017-06-01,"I’ve just returned from a trip overseas where we concluded nearly $350 billion of military and economic development for the United States, creating hundreds of thousands of jobs.",https://www.washingtonpost.com/news/fact-checker/wp/2017/06/08/the-trump-administrations-tally-of-350-billion-plus-in-deals-with-saudi-arabia/?utm_term=.142db3117855,Trump’s figures are inflated and premature.
2017-06-04,At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’,http://www.snopes.com/2017/06/04/london-mayor-sadiq-khan-no-reason-to-be-alarmed-trump/,The mayor was specifically talking about the enlarged police presence on the streets.
2017-06-05,"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.",http://www.factcheck.org/2017/06/trumps-tweets-twist-facts/,"Trump signed this version of the travel ban, not the Justice Department."
2017-06-20,"Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O!",https://www.washingtonpost.com/news/the-fix/wp/2017/06/21/republicans-claim-a-big-victory-and-trump-promptly-exaggerates-it/?utm_term=.ce22a6dade36,"Republicans have won four special elections this year, while a Democrat won one."
2017-06-21,They all say it's 'nonbinding.' Like hell it's nonbinding.,https://www.nytimes.com/2017/06/21/us/politics/trump-iowa-rally-venting-session.html,The Paris climate agreement is nonbinding — and Trump said so in his speech announcing the withdrawal.
2017-06-21,"Right now, we are one of the highest-taxed nations in the world.",http://www.politifact.com/truth-o-meter/article/2017/jun/22/fact-checking-nine-things-trump-overstated-got-wro/,We're not.
2017-06-21,"You have a gang called MS-13. ... We are moving them out of the country by the thousands, by the thousands.",http://www.factcheck.org/2017/06/factchecking-trumps-iowa-rally,The real number of gang members deported is smaller.
2017-06-21,Your insurance companies have all fled the state of Iowa.,http://www.factcheck.org/2017/06/factchecking-trumps-iowa-rally/,They haven't.
2017-06-21,"If [farmers] have a puddle in the middle of their field ... it's considered a lake and you can't touch it. ... We got rid of that one, too, O.K.?",https://www.nytimes.com/2017/06/22/us/politics/factcheck-donald-trump-iowa-rally.html,The Obama environmental rule to limit pollution in the country’s waters explicitly excludes puddles.
2017-06-21,"Gary Cohn just paid $200 million in tax in order to take this job, by the way.",https://www.nytimes.com/2017/06/22/us/politics/factcheck-donald-trump-iowa-rally.html,Cohn sold Goldman Sachs stock worth $220 million.
2017-06-21,We’re 5 and 0.,https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.60ce71155f60,"Republicans have won four special elections this year, while a Democrat won one."
2017-06-21,"Last week a brand-new coal mine just opened in the state of Pennsylvania, first time in decades, decades.",https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.60ce71155f60,Another coal mine opened in 2014.
2017-06-22,Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump & Russia.,http://talkingpointsmemo.com/livewire/trump-claims-johnson-testimony-clears-him,"Johnson, who had a different title, didn't say that."
2017-06-23,We are 5 and 0 ... in these special elections.,http://www.chicagotribune.com/news/nationworld/politics/factcheck/ct-fact-check-trump-missions-20170624-story.html,"Republicans have won four special elections this year, while a Democrat won one."
2017-06-27,Ratings way down!,http://www.politifact.com/truth-o-meter/statements/2017/jul/03/donald-trump/trumps-pants-fire-claim-cnn-ratings-are-way-down/,CNN's ratings were at a five-year high at the time.
2017-06-28,Democrats purposely misstated Medicaid under new Senate bill — actually goes up.,https://www.washingtonpost.com/news/fact-checker/wp/2017/06/30/president-trumps-claim-medicaid-spending-in-senate-health-bill-actually-goes-up/?utm_term=.a319dee54870,Senate bill would have cut the program deeply.
2017-06-29,"General Kelly and his whole group — they’ve gotten rid of 6,000 so far.",https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.aa961e129167,The real number of MS-13 gang members who have been deported is smaller.
2017-07-06,"As a result of this insistence, billions of dollars more have begun to pour into NATO.",http://www.nbcnews.com/politics/donald-trump/fact-check-long-trump-took-credit-nato-spending-was-n780241,NATO countries agreed to meet defense spending requirements in 2014.
2017-07-17,"We’ve signed more bills — and I’m talking about through the legislature — than any president, ever.",https://www.nytimes.com/2017/07/17/us/politics/trump-laws-bills.html,"Clinton, Carter, Truman, and F.D.R. had signed more at the same point."
2017-07-19,"Um, the Russian investigation — it’s not an investigation, it’s not on me — you know, they’re looking at a lot of things.",http://time.com/4823514/donald-trump-investigation-jay-sekulow/,It is.
2017-07-19,"I heard that Harry Truman was first, and then we beat him. These are approved by Congress. These are not just executive orders.",https://www.nytimes.com/2017/07/17/us/politics/trump-laws-bills.html,"Presidents Clinton, Carter, Truman, and F.D.R. each had signed more legislation than Trump at the same point in their terms."
2017-07-19,"But the F.B.I. person really reports directly to the president of the United States, which is interesting.",https://www.usatoday.com/story/news/politics/onpolitics/2017/07/20/fbi-director-reports-justice-department-not-president/495094001/,He reports directly to the attorney general.
